state,county,candidate,party,votes,combined,combined 2,winner,Color,Percent of Vote,Percentage Democrat,Lat,Lon
Delaware,Kent County,Joe Biden,DEM,44518,"Kent County, Delaware44518","Kent County, Delaware",1,#2cc5e6,0.51,0.51,39.1440612,-75.4344727
Delaware,New Castle County,Joe Biden,DEM,194238,"New Castle County, Delaware194238","New Castle County, Delaware",1,#2cc5e6,0.68,0.68,39.5392979,-75.667356
Delaware,Sussex County,Donald Trump,REP,71196,"Sussex County, Delaware71196","Sussex County, Delaware",1,#D74247,0.55,0.45,38.6530841,-75.4344727
District of Columbia,District of Columbia,Joe Biden,DEM,29509,"District of Columbia, District of Columbia29509","District of Columbia, District of Columbia",1,#2cc5e6,0.94,0.94,38.9071923,-77.0368707
District of Columbia,Ward 2,Joe Biden,DEM,24247,"Ward 2, District of Columbia24247","Ward 2, District of Columbia",1,#2cc5e6,0.89,0.89,38.9348181,-77.0748545
District of Columbia,Ward 3,Joe Biden,DEM,33584,"Ward 3, District of Columbia33584","Ward 3, District of Columbia",1,#2cc5e6,0.90,0.90,38.9598871,-77.0806054
District of Columbia,Ward 4,Joe Biden,DEM,35117,"Ward 4, District of Columbia35117","Ward 4, District of Columbia",1,#2cc5e6,0.94,0.94,38.932701,-77.0257151
District of Columbia,Ward 5,Joe Biden,DEM,36585,"Ward 5, District of Columbia36585","Ward 5, District of Columbia",1,#2cc5e6,0.94,0.94,38.9392304,-76.9794501
District of Columbia,Ward 6,Joe Biden,DEM,44699,"Ward 6, District of Columbia44699","Ward 6, District of Columbia",1,#2cc5e6,0.90,0.90,38.8951311,-77.0313808
District of Columbia,Ward 7,Joe Biden,DEM,30253,"Ward 7, District of Columbia30253","Ward 7, District of Columbia",1,#2cc5e6,0.95,0.95,38.894381,-76.9495199
District of Columbia,Ward 8,Joe Biden,DEM,24567,"Ward 8, District of Columbia24567","Ward 8, District of Columbia",1,#2cc5e6,0.94,0.94,38.8425064,-76.9980914
Florida,Alachua County,Joe Biden,DEM,89527,"Alachua County, Florida89527","Alachua County, Florida",1,#2cc5e6,0.63,0.63,29.6579549,-82.3017728
Florida,Baker County,Donald Trump,REP,11911,"Baker County, Florida11911","Baker County, Florida",1,#D74247,0.85,0.15,30.3931168,-82.3017728
Florida,Bay County,Donald Trump,REP,65993,"Bay County, Florida65993","Bay County, Florida",1,#D74247,0.71,0.29,30.1805306,-85.684578
Florida,Bradford County,Donald Trump,REP,10334,"Bradford County, Florida10334","Bradford County, Florida",1,#D74247,0.76,0.24,29.9723818,-82.1713632
Florida,Brevard County,Donald Trump,REP,207857,"Brevard County, Florida207857","Brevard County, Florida",1,#D74247,0.58,0.42,28.263933,-80.7214417
Florida,Broward County,Joe Biden,DEM,618597,"Broward County, Florida618597","Broward County, Florida",1,#2cc5e6,0.65,0.65,26.190096,-80.365865
Florida,Calhoun County,Donald Trump,REP,5269,"Calhoun County, Florida5269","Calhoun County, Florida",1,#D74247,0.81,0.19,30.3475302,-85.1894045
Florida,Charlotte County,Donald Trump,REP,73202,"Charlotte County, Florida73202","Charlotte County, Florida",1,#D74247,0.63,0.37,26.8946009,-81.909826
Florida,Citrus County,Donald Trump,REP,65230,"Citrus County, Florida65230","Citrus County, Florida",1,#D74247,0.70,0.30,28.8848842,-82.5185837
Florida,Clay County,Donald Trump,REP,84422,"Clay County, Florida84422","Clay County, Florida",1,#D74247,0.68,0.32,29.9943564,-81.7787021
Florida,Collier County,Donald Trump,REP,128936,"Collier County, Florida128936","Collier County, Florida",1,#D74247,0.62,0.38,26.069985,-81.4278984
Florida,Columbia County,Donald Trump,REP,23835,"Columbia County, Florida23835","Columbia County, Florida",1,#D74247,0.72,0.28,30.1812696,-82.605118
Florida,DeSoto County,Donald Trump,REP,8313,"DeSoto County, Florida8313","DeSoto County, Florida",1,#D74247,0.66,0.34,27.2142078,-81.7787021
Florida,Dixie County,Donald Trump,REP,6757,"Dixie County, Florida6757","Dixie County, Florida",1,#D74247,0.83,0.17,29.5207227,-83.1649001
Florida,Duval County,Joe Biden,DEM,252450,"Duval County, Florida252450","Duval County, Florida",1,#2cc5e6,0.51,0.51,30.3500511,-81.6035062
Florida,Escambia County,Donald Trump,REP,96655,"Escambia County, Florida96655","Escambia County, Florida",1,#D74247,0.57,0.43,30.6389408,-87.3413599
Florida,Flagler County,Donald Trump,REP,42991,"Flagler County, Florida42991","Flagler County, Florida",1,#D74247,0.60,0.40,29.4086072,-81.2518833
Florida,Franklin County,Donald Trump,REP,4675,"Franklin County, Florida4675","Franklin County, Florida",1,#D74247,0.68,0.32,29.7817695,-84.8567932
Florida,Gadsden County,Joe Biden,DEM,16139,"Gadsden County, Florida16139","Gadsden County, Florida",1,#2cc5e6,0.68,0.68,30.5562947,-84.6479124
Florida,Gilchrist County,Donald Trump,REP,7895,"Gilchrist County, Florida7895","Gilchrist County, Florida",1,#D74247,0.82,0.18,29.6871128,-82.820974
Florida,Glades County,Donald Trump,REP,3781,"Glades County, Florida3781","Glades County, Florida",1,#D74247,0.73,0.27,26.984415,-81.0754657
Florida,Gulf County,Donald Trump,REP,6111,"Gulf County, Florida6111","Gulf County, Florida",1,#D74247,0.75,0.25,29.8001623,-85.354965
Florida,Hamilton County,Donald Trump,REP,3811,"Hamilton County, Florida3811","Hamilton County, Florida",1,#D74247,0.65,0.35,30.4755958,-82.9501558
Florida,Hardee County,Donald Trump,REP,6122,"Hardee County, Florida6122","Hardee County, Florida",1,#D74247,0.72,0.28,27.4501733,-81.8224362
Florida,Hendry County,Donald Trump,REP,7898,"Hendry County, Florida7898","Hendry County, Florida",1,#D74247,0.61,0.39,26.6105319,-81.0754657
Florida,Hernando County,Donald Trump,REP,70321,"Hernando County, Florida70321","Hernando County, Florida",1,#D74247,0.64,0.36,28.5578826,-82.4752757
Florida,Highlands County,Donald Trump,REP,34846,"Highlands County, Florida34846","Highlands County, Florida",1,#D74247,0.67,0.33,27.3400286,-81.3400268
Florida,Hillsborough County,Joe Biden,DEM,376196,"Hillsborough County, Florida376196","Hillsborough County, Florida",1,#2cc5e6,0.53,0.53,27.9903597,-82.3017728
Florida,Holmes County,Donald Trump,REP,8074,"Holmes County, Florida8074","Holmes County, Florida",1,#D74247,0.89,0.11,30.8740806,-85.80766
Florida,Indian River County,Donald Trump,REP,58797,"Indian River County, Florida58797","Indian River County, Florida",1,#D74247,0.60,0.40,27.6947732,-80.543845
Florida,Jackson County,Donald Trump,REP,15488,"Jackson County, Florida15488","Jackson County, Florida",1,#D74247,0.69,0.31,30.7150882,-85.1894045
Florida,Jefferson County,Donald Trump,REP,4474,"Jefferson County, Florida4474","Jefferson County, Florida",1,#D74247,0.53,0.47,30.4311978,-83.8897057
Florida,Lafayette County,Donald Trump,REP,3126,"Lafayette County, Florida3126","Lafayette County, Florida",1,#D74247,0.85,0.15,30.0299573,-83.2077645
Florida,Lake County,Donald Trump,REP,125687,"Lake County, Florida125687","Lake County, Florida",1,#D74247,0.59,0.41,28.702847,-81.7787021
Florida,Lee County,Donald Trump,REP,233242,"Lee County, Florida233242","Lee County, Florida",1,#D74247,0.59,0.41,26.6630286,-81.9534815
Florida,Leon County,Joe Biden,DEM,103492,"Leon County, Florida103492","Leon County, Florida",1,#2cc5e6,0.64,0.64,30.4906177,-84.1857115
Florida,Levy County,Donald Trump,REP,16721,"Levy County, Florida16721","Levy County, Florida",1,#D74247,0.72,0.28,29.3178545,-82.820974
Florida,Liberty County,Donald Trump,REP,2846,"Liberty County, Florida2846","Liberty County, Florida",1,#D74247,0.80,0.20,30.1507777,-84.8567932
Florida,Madison County,Donald Trump,REP,5576,"Madison County, Florida5576","Madison County, Florida",1,#D74247,0.59,0.41,30.4586334,-83.5070203
Florida,Manatee County,Donald Trump,REP,124966,"Manatee County, Florida124966","Manatee County, Florida",1,#D74247,0.58,0.42,27.4799195,-82.345189
Florida,Marion County,Donald Trump,REP,127744,"Marion County, Florida127744","Marion County, Florida",1,#D74247,0.62,0.38,29.2787765,-82.12784
Florida,Martin County,Donald Trump,REP,61133,"Martin County, Florida61133","Martin County, Florida",1,#D74247,0.62,0.38,27.0804935,-80.4103957
Florida,Miami-Dade County,Joe Biden,DEM,617647,"Miami-Dade County, Florida617647","Miami-Dade County, Florida",1,#2cc5e6,0.53,0.53,25.5516034,-80.6326916
Florida,Monroe County,Donald Trump,REP,25668,"Monroe County, Florida25668","Monroe County, Florida",1,#D74247,0.53,0.47,24.5557001,-81.7825985
Florida,Nassau County,Donald Trump,REP,42502,"Nassau County, Florida42502","Nassau County, Florida",1,#D74247,0.72,0.28,30.5927334,-81.8224362
Florida,Okaloosa County,Donald Trump,REP,79633,"Okaloosa County, Florida79633","Okaloosa County, Florida",1,#D74247,0.68,0.32,30.5773401,-86.6611083
Florida,Okeechobee County,Donald Trump,REP,11460,"Okeechobee County, Florida11460","Okeechobee County, Florida",1,#D74247,0.72,0.28,27.3462015,-80.8986502
Florida,Orange County,Joe Biden,DEM,394857,"Orange County, Florida394857","Orange County, Florida",1,#2cc5e6,0.61,0.61,28.4844995,-81.2518833
Florida,Osceola County,Joe Biden,DEM,97278,"Osceola County, Florida97278","Osceola County, Florida",1,#2cc5e6,0.56,0.56,28.1019838,-81.0754657
Florida,Palm Beach County,Joe Biden,DEM,433392,"Palm Beach County, Florida433392","Palm Beach County, Florida",1,#2cc5e6,0.56,0.56,26.6514503,-80.2767327
Florida,Pasco County,Donald Trump,REP,179545,"Pasco County, Florida179545","Pasco County, Florida",1,#D74247,0.60,0.40,28.3232418,-82.4319405
Florida,Pinellas County,Joe Biden,DEM,277191,"Pinellas County, Florida277191","Pinellas County, Florida",1,#2cc5e6,0.49,0.49,27.876394,-82.7778579
Florida,Polk County,Donald Trump,REP,194271,"Polk County, Florida194271","Polk County, Florida",1,#D74247,0.57,0.43,27.8617347,-81.6911559
Florida,Putnam County,Donald Trump,REP,25496,"Putnam County, Florida25496","Putnam County, Florida",1,#D74247,0.70,0.30,29.6265157,-81.7787021
Florida,St. Johns County,Donald Trump,REP,110886,"St. Johns County, Florida110886","St. Johns County, Florida",1,#D74247,0.63,0.37,29.9719419,-81.4278984
Florida,St. Lucie County,Donald Trump,REP,86825,"St. Lucie County, Florida86825","St. Lucie County, Florida",1,#D74247,0.50,0.50,27.3225563,-80.543845
Florida,Santa Rosa County,Donald Trump,REP,77349,"Santa Rosa County, Florida77349","Santa Rosa County, Florida",1,#D74247,0.72,0.28,30.7689907,-86.9824288
Florida,Sarasota County,Donald Trump,REP,148065,"Sarasota County, Florida148065","Sarasota County, Florida",1,#D74247,0.55,0.45,27.1995986,-82.345189
Florida,Seminole County,Joe Biden,DEM,132486,"Seminole County, Florida132486","Seminole County, Florida",1,#2cc5e6,0.51,0.51,28.7131688,-81.2078164
Florida,Sumter County,Donald Trump,REP,62753,"Sumter County, Florida62753","Sumter County, Florida",1,#D74247,0.68,0.32,28.6747526,-82.0842901
Florida,Suwannee County,Donald Trump,REP,16410,"Suwannee County, Florida16410","Suwannee County, Florida",1,#D74247,0.78,0.22,30.2485096,-82.9931607
Florida,Taylor County,Donald Trump,REP,7748,"Taylor County, Florida7748","Taylor County, Florida",1,#D74247,0.77,0.23,30.0993767,-83.6773928
Florida,Union County,Donald Trump,REP,5130,"Union County, Florida5130","Union County, Florida",1,#D74247,0.82,0.18,30.0745112,-82.345189
Florida,Volusia County,Donald Trump,REP,173797,"Volusia County, Florida173797","Volusia County, Florida",1,#D74247,0.57,0.43,29.0279842,-81.0754657
Florida,Wakulla County,Donald Trump,REP,12868,"Wakulla County, Florida12868","Wakulla County, Florida",1,#D74247,0.70,0.30,30.1301689,-84.3542049
Florida,Walton County,Donald Trump,REP,32942,"Walton County, Florida32942","Walton County, Florida",1,#D74247,0.75,0.25,30.5640199,-86.1751759
Florida,Washington County,Donald Trump,REP,9876,"Washington County, Florida9876","Washington County, Florida",1,#D74247,0.80,0.20,30.548737,-85.684578
Georgia,Appling County,Donald Trump,REP,6526,"Appling County, Georgia6526","Appling County, Georgia",1,#D74247,0.78,0.22,31.712238,-82.2583297
Georgia,Atkinson County,Donald Trump,REP,2300,"Atkinson County, Georgia2300","Atkinson County, Georgia",1,#D74247,0.73,0.27,31.2932161,-82.8640623
Georgia,Bacon County,Donald Trump,REP,4018,"Bacon County, Georgia4018","Bacon County, Georgia",1,#D74247,0.86,0.14,31.5412085,-82.4319405
Georgia,Baker County,Donald Trump,REP,897,"Baker County, Georgia897","Baker County, Georgia",1,#D74247,0.58,0.42,31.2816037,-84.4802606
Georgia,Baldwin County,Joe Biden,DEM,9140,"Baldwin County, Georgia9140","Baldwin County, Georgia",1,#2cc5e6,0.50,0.50,33.0338083,-83.2934086
Georgia,Banks County,Donald Trump,REP,7795,"Banks County, Georgia7795","Banks County, Georgia",1,#D74247,0.89,0.11,34.378542,-83.4643551
Georgia,Barrow County,Donald Trump,REP,26804,"Barrow County, Georgia26804","Barrow County, Georgia",1,#D74247,0.71,0.29,34.0142667,-83.6986568
Georgia,Bartow County,Donald Trump,REP,37673,"Bartow County, Georgia37673","Bartow County, Georgia",1,#D74247,0.75,0.25,34.2660473,-84.8150781
Georgia,Ben Hill County,Donald Trump,REP,4110,"Ben Hill County, Georgia4110","Ben Hill County, Georgia",1,#D74247,0.63,0.37,31.7664035,-83.2077645
Georgia,Berrien County,Donald Trump,REP,6409,"Berrien County, Georgia6409","Berrien County, Georgia",1,#D74247,0.83,0.17,31.3118535,-83.2077645
Georgia,Bibb County,Joe Biden,DEM,43234,"Bibb County, Georgia43234","Bibb County, Georgia",1,#2cc5e6,0.61,0.61,32.7865735,-83.7199136
Georgia,Bleckley County,Donald Trump,REP,4328,"Bleckley County, Georgia4328","Bleckley County, Georgia",1,#D74247,0.76,0.24,32.4087854,-83.3789389
Georgia,Brantley County,Donald Trump,REP,6991,"Brantley County, Georgia6991","Brantley County, Georgia",1,#D74247,0.90,0.10,31.1510963,-81.9971108
Georgia,Brooks County,Donald Trump,REP,4260,"Brooks County, Georgia4260","Brooks County, Georgia",1,#D74247,0.60,0.40,30.8730159,-83.5496566
Georgia,Bryan County,Donald Trump,REP,14244,"Bryan County, Georgia14244","Bryan County, Georgia",1,#D74247,0.67,0.33,32.0236584,-81.4718387
Georgia,Bulloch County,Donald Trump,REP,18386,"Bulloch County, Georgia18386","Bulloch County, Georgia",1,#D74247,0.61,0.39,32.3595678,-81.7787021
Georgia,Burke County,Donald Trump,REP,5400,"Burke County, Georgia5400","Burke County, Georgia",1,#D74247,0.51,0.49,33.088805,-81.9534815
Georgia,Butts County,Donald Trump,REP,8403,"Butts County, Georgia8403","Butts County, Georgia",1,#D74247,0.71,0.29,33.2691443,-83.9532571
Georgia,Calhoun County,Joe Biden,DEM,1259,"Calhoun County, Georgia1259","Calhoun County, Georgia",1,#2cc5e6,0.57,0.57,31.5621777,-84.6479124
Georgia,Camden County,Donald Trump,REP,15251,"Camden County, Georgia15251","Camden County, Georgia",1,#D74247,0.64,0.36,30.898276,-81.6035062
Georgia,Candler County,Donald Trump,REP,3129,"Candler County, Georgia3129","Candler County, Georgia",1,#D74247,0.71,0.29,32.4241804,-82.0842901
Georgia,Carroll County,Donald Trump,REP,37476,"Carroll County, Georgia37476","Carroll County, Georgia",1,#D74247,0.69,0.31,33.5642239,-85.0649071
Georgia,Catoosa County,Donald Trump,REP,25167,"Catoosa County, Georgia25167","Catoosa County, Georgia",1,#D74247,0.77,0.23,34.8981727,-85.1479364
Georgia,Charlton County,Donald Trump,REP,3419,"Charlton County, Georgia3419","Charlton County, Georgia",1,#D74247,0.75,0.25,30.7917361,-82.0842901
Georgia,Chatham County,Joe Biden,DEM,78181,"Chatham County, Georgia78181","Chatham County, Georgia",1,#2cc5e6,0.59,0.59,31.9994194,-81.1196075
Georgia,Chattahoochee County,Donald Trump,REP,880,"Chattahoochee County, Georgia880","Chattahoochee County, Georgia",1,#D74247,0.55,0.45,32.2952274,-84.8150781
Georgia,Chattooga County,Donald Trump,REP,8064,"Chattooga County, Georgia8064","Chattooga County, Georgia",1,#D74247,0.80,0.20,34.4632661,-85.3136218
Georgia,Cherokee County,Donald Trump,REP,99474,"Cherokee County, Georgia99474","Cherokee County, Georgia",1,#D74247,0.69,0.31,34.2514526,-84.4802606
Georgia,Clarke County,Joe Biden,DEM,35969,"Clarke County, Georgia35969","Clarke County, Georgia",1,#2cc5e6,0.70,0.70,33.9519347,-83.357567
Georgia,Clay County,Joe Biden,DEM,790,"Clay County, Georgia790","Clay County, Georgia",1,#2cc5e6,0.55,0.55,31.6447931,-85.0025539
Georgia,Clayton County,Joe Biden,DEM,94365,"Clayton County, Georgia94365","Clayton County, Georgia",1,#2cc5e6,0.85,0.85,33.5571944,-84.375233
Georgia,Clinch County,Donald Trump,REP,2105,"Clinch County, Georgia2105","Clinch County, Georgia",1,#D74247,0.73,0.27,30.9716985,-82.820974
Georgia,Cobb County,Joe Biden,DEM,221730,"Cobb County, Georgia221730","Cobb County, Georgia",1,#2cc5e6,0.56,0.56,33.8999297,-84.564147
Georgia,Coffee County,Donald Trump,REP,10532,"Coffee County, Georgia10532","Coffee County, Georgia",1,#D74247,0.70,0.30,31.5182285,-82.820974
Georgia,Colquitt County,Donald Trump,REP,11776,"Colquitt County, Georgia11776","Colquitt County, Georgia",1,#D74247,0.73,0.27,31.2072856,-83.8473015
Georgia,Columbia County,Donald Trump,REP,49952,"Columbia County, Georgia49952","Columbia County, Georgia",1,#D74247,0.62,0.38,33.5098514,-82.2583297
Georgia,Cook County,Donald Trump,REP,4900,"Cook County, Georgia4900","Cook County, Georgia",1,#D74247,0.70,0.30,31.1428037,-83.4643551
Georgia,Coweta County,Donald Trump,REP,51501,"Coweta County, Georgia51501","Coweta County, Georgia",1,#D74247,0.67,0.33,33.3716708,-84.7315563
Georgia,Crawford County,Donald Trump,REP,4428,"Crawford County, Georgia4428","Crawford County, Georgia",1,#D74247,0.73,0.27,32.7090798,-83.9744262
Georgia,Crisp County,Donald Trump,REP,4987,"Crisp County, Georgia4987","Crisp County, Georgia",1,#D74247,0.62,0.38,31.8875724,-83.804868
Georgia,Dade County,Donald Trump,REP,6066,"Dade County, Georgia6066","Dade County, Georgia",1,#D74247,0.82,0.18,34.9109017,-85.4788065
Georgia,Dawson County,Donald Trump,REP,13393,"Dawson County, Georgia13393","Dawson County, Georgia",1,#D74247,0.83,0.17,34.412912,-84.1435136
Georgia,Decatur County,Donald Trump,REP,6758,"Decatur County, Georgia6758","Decatur County, Georgia",1,#D74247,0.58,0.42,30.8720058,-84.5222189
Georgia,DeKalb County,Joe Biden,DEM,305197,"DeKalb County, Georgia305197","DeKalb County, Georgia",1,#2cc5e6,0.83,0.83,33.7956441,-84.2278796
Georgia,Dodge County,Donald Trump,REP,5839,"Dodge County, Georgia5839","Dodge County, Georgia",1,#D74247,0.72,0.28,32.1287268,-83.2077645
Georgia,Dooly County,Donald Trump,REP,2159,"Dooly County, Georgia2159","Dooly County, Georgia",1,#D74247,0.53,0.47,32.1593447,-83.804868
Georgia,Dougherty County,Joe Biden,DEM,24540,"Dougherty County, Georgia24540","Dougherty County, Georgia",1,#2cc5e6,0.70,0.70,31.5439375,-84.2278796
Georgia,Douglas County,Joe Biden,DEM,42609,"Douglas County, Georgia42609","Douglas County, Georgia",1,#2cc5e6,0.62,0.62,33.7290225,-84.7315563
Georgia,Early County,Donald Trump,REP,2719,"Early County, Georgia2719","Early County, Georgia",1,#D74247,0.52,0.48,31.3901106,-84.8984775
Georgia,Echols County,Donald Trump,REP,1256,"Echols County, Georgia1256","Echols County, Georgia",1,#D74247,0.87,0.13,30.7503289,-82.9501558
Georgia,Effingham County,Donald Trump,REP,23357,"Effingham County, Georgia23357","Effingham County, Georgia",1,#D74247,0.74,0.26,32.378148,-81.3839326
Georgia,Elbert County,Donald Trump,REP,6226,"Elbert County, Georgia6226","Elbert County, Georgia",1,#D74247,0.68,0.32,34.0795372,-82.8640623
Georgia,Emanuel County,Donald Trump,REP,6551,"Emanuel County, Georgia6551","Emanuel County, Georgia",1,#D74247,0.69,0.31,32.5726629,-82.3017728
Georgia,Evans County,Donald Trump,REP,2888,"Evans County, Georgia2888","Evans County, Georgia",1,#D74247,0.68,0.32,32.1427011,-81.909826
Georgia,Fannin County,Donald Trump,REP,12144,"Fannin County, Georgia12144","Fannin County, Georgia",1,#D74247,0.82,0.18,34.8580405,-84.2278796
Georgia,Fayette County,Donald Trump,REP,36316,"Fayette County, Georgia36316","Fayette County, Georgia",1,#D74247,0.53,0.47,33.4502206,-84.4802606
Georgia,Floyd County,Donald Trump,REP,27059,"Floyd County, Georgia27059","Floyd County, Georgia",1,#D74247,0.70,0.30,34.2828967,-85.2308414
Georgia,Forsyth County,Donald Trump,REP,85081,"Forsyth County, Georgia85081","Forsyth County, Georgia",1,#D74247,0.66,0.34,34.2358502,-84.1435136
Georgia,Franklin County,Donald Trump,REP,9069,"Franklin County, Georgia9069","Franklin County, Georgia",1,#D74247,0.84,0.16,34.3645724,-83.2077645
Georgia,Fulton County,Joe Biden,DEM,377484,"Fulton County, Georgia377484","Fulton County, Georgia",1,#2cc5e6,0.73,0.73,33.8033965,-84.3962535
Georgia,Gilmer County,Donald Trump,REP,13382,"Gilmer County, Georgia13382","Gilmer County, Georgia",1,#D74247,0.81,0.19,34.6935359,-84.4802606
Georgia,Glascock County,Donald Trump,REP,1403,"Glascock County, Georgia1403","Glascock County, Georgia",1,#D74247,0.90,0.10,33.2422994,-82.6267345
Georgia,Glynn County,Donald Trump,REP,25616,"Glynn County, Georgia25616","Glynn County, Georgia",1,#D74247,0.61,0.39,31.2624169,-81.6035062
Georgia,Gordon County,Donald Trump,REP,19405,"Gordon County, Georgia19405","Gordon County, Georgia",1,#D74247,0.81,0.19,34.4891699,-84.8567932
Georgia,Grady County,Donald Trump,REP,7027,"Grady County, Georgia7027","Grady County, Georgia",1,#D74247,0.66,0.34,30.9050079,-84.2278796
Georgia,Greene County,Donald Trump,REP,7068,"Greene County, Georgia7068","Greene County, Georgia",1,#D74247,0.63,0.37,33.5186591,-83.1649001
Georgia,Gwinnett County,Joe Biden,DEM,241140,"Gwinnett County, Georgia241140","Gwinnett County, Georgia",1,#2cc5e6,0.58,0.58,33.9190653,-84.0167423
Georgia,Habersham County,Donald Trump,REP,16616,"Habersham County, Georgia16616","Habersham County, Georgia",1,#D74247,0.81,0.19,34.6478893,-83.5496566
Georgia,Hall County,Donald Trump,REP,64105,"Hall County, Georgia64105","Hall County, Georgia",1,#D74247,0.71,0.29,34.30778,-83.804868
Georgia,Hancock County,Joe Biden,DEM,2985,"Hancock County, Georgia2985","Hancock County, Georgia",1,#2cc5e6,0.72,0.72,33.2882621,-83.0361376
Georgia,Haralson County,Donald Trump,REP,12331,"Haralson County, Georgia12331","Haralson County, Georgia",1,#D74247,0.86,0.14,33.8021715,-85.1900684
Georgia,Harris County,Donald Trump,REP,14319,"Harris County, Georgia14319","Harris County, Georgia",1,#D74247,0.72,0.28,32.7032697,-84.8567932
Georgia,Hart County,Donald Trump,REP,9464,"Hart County, Georgia9464","Hart County, Georgia",1,#D74247,0.74,0.26,34.3500039,-82.9501558
Georgia,Heard County,Donald Trump,REP,4516,"Heard County, Georgia4516","Heard County, Georgia",1,#D74247,0.84,0.16,33.2990406,-85.1479364
Georgia,Henry County,Joe Biden,DEM,73276,"Henry County, Georgia73276","Henry County, Georgia",1,#2cc5e6,0.60,0.60,33.4347963,-84.1435136
Georgia,Houston County,Donald Trump,REP,41534,"Houston County, Georgia41534","Houston County, Georgia",1,#D74247,0.56,0.44,32.4219655,-83.634843
Georgia,Irwin County,Donald Trump,REP,3134,"Irwin County, Georgia3134","Irwin County, Georgia",1,#D74247,0.75,0.25,31.5893221,-83.2934086
Georgia,Jackson County,Donald Trump,REP,29497,"Jackson County, Georgia29497","Jackson County, Georgia",1,#D74247,0.78,0.22,34.1174511,-83.5496566
Georgia,Jasper County,Donald Trump,REP,5822,"Jasper County, Georgia5822","Jasper County, Georgia",1,#D74247,0.76,0.24,33.3246924,-83.7199136
Georgia,Jeff Davis County,Donald Trump,REP,4695,"Jeff Davis County, Georgia4695","Jeff Davis County, Georgia",1,#D74247,0.81,0.19,31.8234851,-82.605118
Georgia,Jefferson County,Joe Biden,DEM,4061,"Jefferson County, Georgia4061","Jefferson County, Georgia",1,#2cc5e6,0.53,0.53,33.0740753,-82.4319405
Georgia,Jenkins County,Donald Trump,REP,2161,"Jenkins County, Georgia2161","Jenkins County, Georgia",1,#D74247,0.63,0.37,32.7781246,-81.9971108
Georgia,Johnson County,Donald Trump,REP,2850,"Johnson County, Georgia2850","Johnson County, Georgia",1,#D74247,0.70,0.30,32.7308194,-82.6915429
Georgia,Jones County,Donald Trump,REP,9965,"Jones County, Georgia9965","Jones County, Georgia",1,#D74247,0.67,0.33,33.0002582,-83.5070203
Georgia,Lamar County,Donald Trump,REP,6322,"Lamar County, Georgia6322","Lamar County, Georgia",1,#D74247,0.70,0.30,33.0765883,-84.1435136
Georgia,Lanier County,Donald Trump,REP,2509,"Lanier County, Georgia2509","Lanier County, Georgia",1,#D74247,0.70,0.30,31.0291269,-83.0361376
Georgia,Laurens County,Donald Trump,REP,14479,"Laurens County, Georgia14479","Laurens County, Georgia",1,#D74247,0.64,0.36,32.433014,-82.9931607
Georgia,Lee County,Donald Trump,REP,12007,"Lee County, Georgia12007","Lee County, Georgia",1,#D74247,0.72,0.28,31.8128435,-84.1435136
Georgia,Liberty County,Joe Biden,DEM,13051,"Liberty County, Georgia13051","Liberty County, Georgia",1,#2cc5e6,0.61,0.61,31.842969,-81.4718387
Georgia,Lincoln County,Donald Trump,REP,3175,"Lincoln County, Georgia3175","Lincoln County, Georgia",1,#D74247,0.68,0.32,33.7875101,-82.4319405
Georgia,Long County,Donald Trump,REP,3528,"Long County, Georgia3528","Long County, Georgia",1,#D74247,0.62,0.38,31.7755541,-81.8224362
Georgia,Lowndes County,Donald Trump,REP,25691,"Lowndes County, Georgia25691","Lowndes County, Georgia",1,#D74247,0.55,0.45,30.8600022,-83.2934086
Georgia,Lumpkin County,Donald Trump,REP,12160,"Lumpkin County, Georgia12160","Lumpkin County, Georgia",1,#D74247,0.78,0.22,34.5813972,-83.9744262
Georgia,McDuffie County,Donald Trump,REP,6169,"McDuffie County, Georgia6169","McDuffie County, Georgia",1,#D74247,0.59,0.41,33.5258626,-82.5185837
Georgia,McIntosh County,Donald Trump,REP,4016,"McIntosh County, Georgia4016","McIntosh County, Georgia",1,#D74247,0.60,0.40,31.4748147,-81.3839326
Georgia,Macon County,Joe Biden,DEM,2857,"Macon County, Georgia2857","Macon County, Georgia",1,#2cc5e6,0.61,0.61,32.3523607,-84.059029
Georgia,Madison County,Donald Trump,REP,11146,"Madison County, Georgia11146","Madison County, Georgia",1,#D74247,0.76,0.24,34.0990245,-83.2077645
Georgia,Marion County,Donald Trump,REP,2275,"Marion County, Georgia2275","Marion County, Georgia",1,#D74247,0.63,0.37,32.328102,-84.5222189
Georgia,Meriwether County,Donald Trump,REP,6524,"Meriwether County, Georgia6524","Meriwether County, Georgia",1,#D74247,0.60,0.40,33.0561282,-84.6897495
Georgia,Miller County,Donald Trump,REP,2066,"Miller County, Georgia2066","Miller County, Georgia",1,#D74247,0.73,0.27,31.2008218,-84.7315563
Georgia,Mitchell County,Donald Trump,REP,4935,"Mitchell County, Georgia4935","Mitchell County, Georgia",1,#D74247,0.55,0.45,31.2230067,-84.1857115
Georgia,Monroe County,Donald Trump,REP,11060,"Monroe County, Georgia11060","Monroe County, Georgia",1,#D74247,0.71,0.29,32.9746846,-83.8897057
Georgia,Montgomery County,Donald Trump,REP,2959,"Montgomery County, Georgia2959","Montgomery County, Georgia",1,#D74247,0.75,0.25,32.1802095,-82.5185837
